# DES-SN5YR photometry subset (public data release: DES Collaboration 2024;
# Sanchez et al. 2024; https://github.com/des-science/DES-SN5YR ,
# doi:10.5281/zenodo.12720777). Cosmology-sample SNe Ia (IDSURVEY 10),
# zHEL 0.05-0.65 stratified (all z<0.2 + 25/bin, seed 42); SNANA SMP
# FLUXCAL -> AB mag (27.5 - 2.5 log10 FLUXCAL), SNR >= 3.
# x1/c/mB/mu columns = the release SALT3 fits (DES-Dovekie_Metadata.csv),
# carried for cross-checks only.
snid,z,zhd,mwebv,pkmjd,x1_des,ex1_des,c_des,ec_des,mB_des,mu_des,muerr_des,snrmax,fitprob,n_snr3
1261236,0.5985,0.59789,0.008077946491539478,56645.3477,0.68721,0.4253,0.17171,0.0359149,23.43996,42.49326,0.20019,22.81818,0.99224,34
1262267,0.56332,0.56215,0.008871828205883503,56652.1211,-2.38557,0.98476,0.16636,0.0848038,23.15689,42.18917,0.21088,14.93794,0.9879,13
1265089,0.44588,0.44472,0.022919028997421265,56677.6328,1.00747,0.88726,0.00608607,0.058412,22.36613,41.86658,0.16597,21.90004,0.31161,22
1265134,0.47362,0.47304,0.011363348923623562,56683.8438,1.05627,0.68307,0.0212499,0.0326595,22.48871,41.99333,0.16449,58.53045,0.7545,17
1265260,0.6044,0.60311,0.022465523332357407,56663.9492,-2.0267,0.69389,0.23305,0.069267,23.83291,42.50027,0.26288,16.19349,0.86304,17
1266830,0.5717,0.57039,0.01646474376320839,56674.6094,-0.0118094,1.05084,0.17803,0.0827449,23.15875,42.39987,0.16897,10.90152,0.87179,13
1273127,0.19024,0.18937,0.006919021252542734,57245.7344,-2.25372,0.59389,-0.0185661,0.0394992,20.87045,39.9733,0.12614,50.28754,0.99935,27
1275946,0.233,0.23212,0.00833601038902998,57261.7695,1.83511,0.23833,-0.0450527,0.0199169,20.57523,40.32782,0.11634,112.73665,0.97365,89
1277173,0.15035,0.1494,0.018532751128077507,57246.5547,-1.16824,0.38392,-0.0805097,0.0268279,19.91668,39.34373,0.0985,72.05803,0.38421,49
1279500,0.23568,0.2347,0.022016597911715508,57252.3711,0.87045,0.16267,-0.0107071,0.0128616,20.87741,40.35195,0.14154,166.9032,0.85374,80
1281119,0.19947,0.19902,0.008262181654572487,57264.8477,-0.111789,0.3361,0.18489,0.0323105,21.2635,40.11619,0.19924,27.41405,0.0106874,44
1281886,0.38493,0.38393,0.028678370639681816,57268.2812,1.26982,0.39402,0.018858,0.0444217,22.03967,41.46707,0.18106,25.2365,0.42326,45
1283923,0.14715,0.14631,0.005298121366649866,57268.3672,-2.52192,0.24047,0.0951146,0.0326866,20.727,39.46035,0.15943,65.45822,0.60722,95
1289346,0.453,0.45198,0.006120798643678427,57316.5508,1.82664,0.50332,0.24695,0.0449907,22.50612,41.34949,0.21428,20.56859,0.00748657,73
1289982,0.11665,0.11621,0.008311520330607891,56895.2812,0.27959,0.30504,0.1427,0.033946,22.50906,41.38301,0.20912,33.25374,0.00225583,50
1290007,0.4317,0.43112,0.007387529592961073,56891.7305,-0.317142,0.46116,0.0753453,0.0417135,22.74054,41.79286,0.22284,42.91811,0.76348,37
1291090,0.29292,0.29199,0.007263121660798788,56905.1406,1.38213,0.22465,-0.0662464,0.0183912,21.12971,40.86884,0.12577,45.83545,0.9723,67
1292560,0.22582,0.22482,0.020562268793582916,56904.6953,0.52007,0.15658,-0.114328,0.0149211,20.53131,40.26777,0.09903,71.19586,0.55132,63
1292823,0.34672,0.34565,0.023308882489800453,56900.6094,0.42139,0.17887,-0.0327723,0.0157064,21.82461,41.30887,0.12661,52.23706,0.17666,56
1293046,0.60863,0.60736,0.03486481308937073,56899.1641,-1.23891,0.82582,-0.136312,0.10289,23.46383,42.93457,0.19927,13.27234,0.27312,14
1293758,0.14896,0.14812,0.007273045368492603,56915.8164,-1.64935,0.16815,-0.0567402,0.0183791,20.01438,39.29882,0.08534,226.10384,1.0,140
1293789,0.42914,0.42857,0.006015621591359377,56904.1523,1.36549,0.31901,-0.0597622,0.0363502,22.14961,41.90901,0.12469,51.05645,0.99187,50
1294351,0.33926,0.33828,0.02932472713291645,56910.043,0.56213,0.33447,-0.0466559,0.0230592,21.75212,41.29239,0.14423,23.77525,0.44445,38
1294436,0.17885,0.178,0.03115445002913475,57014.8828,-0.118582,1.11647,0.0482209,0.0591558,22.38309,41.63537,0.25939,15.03085,0.00564028,30
1295844,0.19294,0.19209,0.005853865761309862,56924.0938,-1.15431,0.3619,-0.0294134,0.0377667,21.70057,40.96771,0.13424,40.92753,0.043819,46
1296321,0.18531,0.18444,0.029841819778084755,56930.1055,0.56552,0.16097,0.0897274,0.0147873,20.93709,40.03362,0.19652,72.55489,0.29077,57
1296657,0.14715,0.14624,0.029522696509957314,56923.5898,0.79735,0.15475,0.011389,0.015268,19.85985,39.29023,0.13211,136.85365,0.81249,71
1296793,0.64526,0.64392,0.022863134741783142,56917.9531,-1.06719,1.11485,0.0665249,0.0939709,23.52534,42.96751,0.14889,7.96923,0.34075,17
1298893,0.19712,0.19616,0.02513471245765686,56935.7812,-2.88392,0.42146,-0.0606103,0.0538095,20.81249,39.9279,0.13755,45.32024,0.99746,30
1299775,0.16051,0.16008,0.009302482940256596,56938.5898,-0.0204858,0.17873,0.19545,0.0178093,20.28406,39.12071,0.18647,105.4454,0.18299,64
1302915,0.36022,0.35921,0.025464370846748352,56953.1953,-0.84899,0.34807,0.00941831,0.0248745,22.12627,41.38866,0.12823,28.5787,0.8062,33
1303279,0.17315,0.17273,0.009556741453707218,56966.25,0.19162,0.1848,-0.0881208,0.0156826,19.62921,39.29306,0.08337,137.71646,0.21737,52
1303496,0.18021,0.17978,0.010907814837992191,56966.3086,-0.109991,0.17886,0.0871841,0.0153033,20.55429,39.69446,0.15137,93.47256,0.99479,53
1306059,0.6076,0.60631,0.0227215476334095,56963.8359,-0.264543,0.40064,0.00587559,0.0426647,23.55824,42.86798,0.18412,22.09772,0.70373,25
1306366,0.15145,0.15062,0.040541872382164,57284.1094,-0.45763,0.26044,0.21242,0.0230028,21.06847,39.60073,0.24715,79.02671,0.53566,34
1306423,0.44739,0.44638,0.05607478320598602,57278.3789,-2.08271,0.67794,-0.055948,0.0808245,22.64706,41.87444,0.21323,16.06289,0.079134,18
1306991,0.42306,0.42199,0.010175777599215508,57288.4219,-0.503917,0.55768,-0.0988085,0.0681804,22.09307,41.63381,0.16707,12.04834,0.0457411,33
1310396,0.32358,0.3225,0.021220292896032333,56990.2188,0.32612,0.19962,-0.145043,0.0129738,21.46256,41.21681,0.10543,59.59467,0.28644,47
1311631,0.64177,0.64039,0.018175655975937843,56992.207,0.71985,1.11968,-0.0881381,0.0748184,23.51152,43.19782,0.17024,8.96227,0.98673,13
1312164,0.52438,0.52327,0.0067891827784478664,56671.9922,-0.383649,1.1373,-0.0783411,0.0942254,23.21756,42.72466,0.31277,8.76477,0.96916,17
1312213,0.40797,0.40697,0.05148065462708473,56979.0352,-2.15049,0.93356,-0.0518599,0.0834852,22.98774,42.23683,0.23673,16.44276,0.32581,16
1315910,0.39468,0.39365,0.00554359145462513,57001.1406,-0.982602,0.7903,0.12947,0.0852773,23.26969,42.25254,0.25435,11.46255,0.59945,19
1316385,0.14784,0.1474,0.007115315645933151,57019.957,1.06972,0.0934574,0.0234555,0.01289,19.56541,39.00672,0.13909,301.40622,0.85311,84
1317164,0.15555,0.15459,0.01880740001797676,57296.25,-2.44449,0.32471,0.1433,0.0377367,20.61004,39.23567,0.17632,66.57361,0.95089,64
1317612,0.10525,0.10442,0.004132469184696674,57014.3984,-1.2487,0.23066,0.0315093,0.0279569,19.23953,38.35683,0.12738,375.79321,0.99944,41
1317666,0.14227,0.14136,0.022805597633123398,57301.5312,-0.283833,0.12127,0.0595031,0.0153849,20.15257,39.34775,0.14408,208.1246,0.9996,67
1318737,0.07451,0.07374,0.042604122310876846,57018.2148,-0.389992,0.16517,0.21196,0.0180582,18.65693,37.36177,0.18771,220.849,0.00290614,42
1319614,0.33972,0.3392,0.008355841040611267,57011.0625,-1.29081,0.48006,0.28432,0.0359776,22.91434,41.41143,0.21256,19.75008,0.94247,28
1321276,0.33227,0.33121,0.021432578563690186,57024.1055,-0.136078,0.24412,-0.0339866,0.0178235,21.93247,41.34494,0.12719,52.22664,0.0463245,21
1323349,0.5061,0.50491,0.02316376008093357,57303.125,-1.29064,0.51404,0.0298229,0.0547986,23.26594,42.41873,0.1769,19.21546,0.99362,32
1324685,0.54244,0.54183,0.007375258486717939,57043.4727,-0.757565,0.45236,-0.028093,0.0302547,23.09317,42.45177,0.1366,46.68916,0.95116,23
1324938,0.19933,0.19847,0.045604411512613297,57042.1211,-1.6373,0.9769,0.0303361,0.0445374,21.67882,40.74201,0.1952,46.52315,0.0460282,19
1330031,0.10643,0.10563,0.005971602629870176,57315.0664,0.37714,0.0986387,-0.107851,0.0142649,18.83332,38.54264,0.08321,390.9968,0.65232,69
1330817,0.27144,0.27051,0.02722092531621456,57308.8242,-1.43491,0.33201,-0.0513795,0.0222292,21.58987,40.90091,0.11152,45.46698,0.92055,43
1331123,0.22248,0.22157,0.00701012322679162,57318.3164,-1.82681,0.26678,-0.0115399,0.0246114,21.14325,40.28881,0.11142,51.21806,1.0,52
1332392,0.51318,0.51197,0.022371135652065277,57316.8477,-0.875846,0.83086,0.11037,0.0737658,23.2992,42.50087,0.19912,9.89863,0.87229,27
1332721,0.42274,0.42224,0.01113447081297636,57324.75,1.33776,0.57463,0.0671661,0.0541,22.82227,42.12211,0.21813,14.19413,0.15712,39
1334084,0.13431,0.13349,0.033915262669324875,57336.4453,-0.913942,0.23769,0.0886807,0.0242273,20.02714,38.98171,0.19872,81.77313,0.88721,43
1334423,0.35888,0.35791,0.04013160988688469,57335.8633,1.1622,0.33487,0.0356783,0.0192578,22.03695,41.40865,0.17519,25.64867,0.94724,39
1334620,0.1972,0.19624,0.02500850148499012,57334.918,-0.821032,0.25485,0.19529,0.0218115,21.23347,39.94861,0.18721,40.19831,0.87547,42
1334654,0.30365,0.30259,0.021312544122338295,57332.8945,-0.94611,0.85417,0.22208,0.0700286,23.49339,42.00282,0.33154,7.70597,0.0023766,21
1335671,0.5248,0.52427,0.011006738059222698,57347.6914,0.53583,0.4069,-0.0798526,0.0373742,22.66958,42.2756,0.10059,20.86197,0.86173,34
1336150,0.34905,0.3481,0.0064031509682536125,57340.25,-0.858069,0.46813,0.15585,0.0345967,22.99371,41.72694,0.25824,15.11204,0.37537,28
1336453,0.18579,0.18492,0.026728885248303413,57355.1602,1.22437,0.17751,-0.0469055,0.017207,20.19108,39.8538,0.10918,158.96373,0.97057,37
1336464,0.38834,0.38732,0.02388126403093338,57350.9062,1.23424,0.52744,0.14271,0.0519396,22.45929,41.67321,0.18763,21.76336,0.61504,28
1336687,0.2348,0.2338,0.02428700029850006,57351.293,0.50097,0.16183,0.12473,0.0158646,21.23575,40.15655,0.22114,92.92072,0.70433,39
1336975,0.11088,0.11048,0.011009507812559605,57354.8906,-0.687441,0.13295,0.00361432,0.0213359,18.97095,38.25468,0.10371,252.08858,0.0160388,52
1337687,0.32917,0.32869,0.012217376381158829,57361.5742,1.09671,0.21114,-0.0925713,0.015416,21.38624,41.13399,0.12028,96.46703,0.93088,43
1339392,0.18191,0.18148,0.009806477464735508,57370.3594,-1.16975,0.24444,-0.0338924,0.022653,20.08306,39.3871,0.09708,179.26089,0.74427,36
1343401,0.38397,0.38283,0.02062991075217724,57395.207,1.15448,0.79492,-0.0252022,0.0504612,21.84831,41.44162,0.15881,34.84303,0.97871,18
1343871,0.639,0.63786,0.055462662130594254,57390.5859,0.64389,1.14353,-0.18684,0.0593435,23.15879,42.90786,0.15612,20.20679,0.63646,15
1344303,0.09475,0.09394,0.026255449280142784,57399.9883,0.50441,0.28199,0.19093,0.0219609,19.45579,38.19696,0.24282,167.00291,0.38433,19
1346956,0.334,0.33352,0.009395794942975044,57412.3672,1.19581,0.47672,-0.0676579,0.0261892,21.44949,41.1466,0.14947,76.94993,0.13566,16
1368143,0.42463,0.42348,0.022380100563168526,57614.1367,0.82722,0.3198,0.0519975,0.0285047,22.33192,41.72135,0.1497,56.57611,0.87744,50
1368530,0.34336,0.34224,0.018688974902033806,57633.7617,-0.454523,0.36674,0.0142396,0.0213369,22.24432,41.47595,0.16639,22.07002,0.00332013,42
1371046,0.07411,0.07334,0.008108624257147312,57622.668,-0.805749,0.11482,0.23861,0.0180949,19.03516,37.60807,0.18104,250.27994,0.98087,119
1435067,0.39235,0.39136,0.00773072661831975,57660.3984,-1.59962,0.45366,-0.00898704,0.0453317,22.36438,41.57298,0.15531,27.04993,0.61756,39
1479069,0.17353,0.17267,0.0064591411501169205,57689.0859,1.48246,0.13299,-0.0534213,0.0133374,19.85105,39.59667,0.10068,203.2682,1.0,150
1500031,0.36704,0.36606,0.007210051640868187,57694.2188,0.22405,0.23814,-0.0306452,0.0159452,22.13242,41.57625,0.14123,35.35585,0.94936,54
1502029,0.51921,0.51797,0.022297803312540054,57693.9922,0.18751,0.55686,-0.105931,0.0478519,22.61477,42.23257,0.12204,16.33039,0.94738,37
1504139,0.55708,0.55644,0.008473895490169525,57696.1992,0.82039,0.21552,-0.0915593,0.0221274,22.72559,42.4424,0.11261,53.64013,0.83811,59
1530193,0.14893,0.14802,0.023105237632989883,57714.8164,1.36907,0.13632,0.0873241,0.0157995,19.79399,39.16841,0.16207,319.16211,0.9992,62
1574062,0.55144,0.5502,0.024801548570394516,57720.8594,-0.48254,0.75296,0.0857357,0.0576283,23.44171,42.76064,0.14285,12.81475,0.97709,25
1578103,0.16092,0.16008,0.034215737134218216,57728.4922,-0.905189,0.1868,0.13662,0.0219377,20.5292,39.39296,0.16618,74.49668,0.99631,43
1634024,0.5776,0.57629,0.016895746812224388,57736.3594,-1.42703,0.82948,-0.00840677,0.0887737,23.31652,42.7146,0.17032,8.54515,0.8804,17
1643063,0.57319,0.57188,0.019798336550593376,57740.6484,-0.709446,0.90103,-0.259534,0.0901811,23.30573,42.97779,0.19947,10.29678,0.37458,16
1703026,0.36491,0.3639,0.031127965077757835,57770.0781,-2.61973,0.72252,-0.0616053,0.0494367,22.34704,41.52774,0.16558,25.50302,0.94821,15
1770639,0.17718,0.17623,0.023101726546883583,58003.2305,1.35276,0.40325,-0.0282433,0.0305157,20.98232,40.67369,0.12344,45.01741,0.0350844,31
1777122,0.45551,0.45429,0.017974697053432465,57995.125,-1.59237,0.77782,-0.2192,0.0689124,22.40729,41.97567,0.18996,21.67912,0.0568486,25
1810306,0.64245,0.6413,0.050454284995794296,58002.5,0.62673,1.05884,-0.182076,0.0789113,23.23656,42.99211,0.16246,10.45353,0.55218,14
1815065,0.13617,0.13537,0.06282851099967957,58038.7773,-1.271,0.21562,0.11711,0.0240673,20.02914,38.89598,0.16109,89.84325,0.68631,64
1833339,0.13092,0.13051,0.009312709793448448,58022.7109,-1.33554,0.21189,-0.00123053,0.0271741,19.6887,38.87889,0.10763,113.08294,0.91023,63
1847148,0.5074,0.50631,0.029605476185679436,58004.4141,0.51299,1.07809,-0.123504,0.17085,22.73206,42.39994,0.29816,9.08816,0.71464,12
1860025,0.23625,0.23532,0.010063453577458858,58031.7109,-0.99687,0.24159,-0.0968893,0.0236861,21.13342,40.59127,0.11133,42.61357,0.66151,50
1862039,0.28792,0.28699,0.045435767620801926,58030.7227,-1.84587,0.39536,0.00911574,0.0386141,21.91672,41.02013,0.13868,20.73814,0.7565,37
1864053,0.09422,0.09333,0.020835651084780693,58021.9648,-2.18719,0.30107,-0.0995519,0.0352931,18.86653,38.14556,0.10078,264.08417,0.98881,72
1871023,0.14883,0.1484,0.009223733097314835,58013.9883,0.82282,0.73944,-0.0711387,0.042728,20.19936,39.93288,0.19467,29.50836,0.00184656,69
1879187,0.59271,0.59157,0.04700171574950218,58044.6367,-1.36977,1.07555,0.22953,0.0952603,23.5948,42.73633,0.19709,6.89462,0.45919,17
1879208,0.19515,0.19471,0.010361878201365471,58049.8008,0.60133,0.12961,-0.0437931,0.0128606,20.38176,39.99672,0.08803,147.51703,0.99943,78
1879649,0.1202,0.11979,0.011556887999176979,58060.8906,-0.74475,0.35948,0.22864,0.0389426,20.55769,39.18096,0.19729,64.18023,0.0104734,68
1891082,0.55,0.54871,0.017739778384566307,58063.5078,1.21533,0.61441,-0.024977,0.0505601,22.97804,42.5505,0.15334,14.71523,0.17568,33
1900662,0.44894,0.44791,0.006247568875551224,58087.8555,0.97761,0.57043,0.12199,0.0445677,22.714,41.96821,0.16684,23.54217,0.82011,33
1904092,0.36896,0.36798,0.00753959733992815,58088.5938,-0.163977,0.35885,0.0249882,0.025003,22.08659,41.40591,0.14892,28.31952,0.81549,28
1905171,0.30404,0.30307,0.026588695123791695,58080.2422,0.64915,0.27135,0.0935743,0.0188901,21.9322,41.04589,0.21489,26.63511,0.45424,37
1922067,0.1987,0.19771,0.01718287169933319,58105.4336,1.48558,0.25667,-0.0347251,0.0185875,20.16553,39.8289,0.11079,145.72572,0.99995,32
1927242,0.24666,0.24576,0.00786159373819828,58107.2188,-2.6695,0.47598,-0.0732246,0.0433842,21.57337,40.75279,0.13371,44.23135,0.39079,22
1929063,0.223,0.22211,0.005558735225349665,58116.6484,-0.410877,0.33876,0.0785298,0.0257078,21.15438,40.1587,0.20142,53.74421,0.40463,21
1948484,0.34545,0.34436,0.025610802695155144,58138.5273,-2.67489,0.83609,-0.105785,0.0450232,21.8558,41.09129,0.18078,55.64053,0.99741,12
